entid,q502,q502_1,q502_2,q502_3
2cefcccc-42f4-4d05-bcfd-0413243c4da6,Solid-fuel stove,1,120,5000
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,Biogas stove,0,0,0
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,Electric cooking device,0,0,0
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,Kerosene fuel / other liquid fuel stove,2,90,3200
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,LPG stove,2,60,13000
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,Other,0,0,0
2d3d0d3e-ae47-4616-8f4e-6f0fad5e0058,Solid-fuel stove,0,0,0
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,Biogas stove,0,0,0
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,Electric cooking device,0,0,0
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,Kerosene fuel / other liquid fuel stove,0,0,0
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,LPG stove,1,180,2750
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,Other,0,0,0
2fe3b6cd-99fa-44a2-a12c-e7bb55261f76,Solid-fuel stove,0,0,0
30896276-6938-484f-b3b4-938ff380e557,Biogas stove,0,0,0
30896276-6938-484f-b3b4-938ff380e557,Electric cooking device,0,0,0
30896276-6938-484f-b3b4-938ff380e557,Kerosene fuel / other liquid fuel stove,0,0,0
30896276-6938-484f-b3b4-938ff380e557,LPG stove,1,240,7500
30896276-6938-484f-b3b4-938ff380e557,Other,0,0,0
30896276-6938-484f-b3b4-938ff380e557,Solid-fuel stove,1,360,6000
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,Biogas stove,0,0,0
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,Electric cooking device,0,0,0
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,Kerosene fuel / other liquid fuel stove,0,0,0
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,LPG stove,0,0,0
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,Other,0,0,0
313e4bd6-6e1f-435b-80ba-2e25af5cfcc2,Solid-fuel stove,4,6,2000
3196a7aa-49c1-42cb-8263-7bb09704bfe9,Biogas stove,0,0,0
3196a7aa-49c1-42cb-8263-7bb09704bfe9,Electric cooking device,0,0,0
3196a7aa-49c1-42cb-8263-7bb09704bfe9,Kerosene fuel / other liquid fuel stove,0,0,0
3196a7aa-49c1-42cb-8263-7bb09704bfe9,LPG stove,2,120,15000
3196a7aa-49c1-42cb-8263-7bb09704bfe9,Other,0,0,0
3196a7aa-49c1-42cb-8263-7bb09704bfe9,Solid-fuel stove,0,0,0
323362f9-1f62-4adf-82fd-951adc3a4bd6,Biogas stove,0,0,0
323362f9-1f62-4adf-82fd-951adc3a4bd6,Electric cooking device,0,0,0
323362f9-1f62-4adf-82fd-951adc3a4bd6,Kerosene fuel / other liquid fuel stove,0,0,0
323362f9-1f62-4adf-82fd-951adc3a4bd6,LPG stove,1,20,1500
323362f9-1f62-4adf-82fd-951adc3a4bd6,Other,0,0,0
323362f9-1f62-4adf-82fd-951adc3a4bd6,Solid-fuel stove,0,0,0
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,Biogas stove,0,0,0
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,Electric cooking device,0,0,0
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,Kerosene fuel / other liquid fuel stove,1,360,5000
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,LPG stove,1,360,4000
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,Other,0,0,0
343c7aa7-3c55-4166-aec6-cf6d0995c6cd,Solid-fuel stove,3,240,7000
346dad9f-ec4a-4cd0-a969-b0cd9190738c,Biogas stove,0,0,0
346dad9f-ec4a-4cd0-a969-b0cd9190738c,Electric cooking device,0,0,0
346dad9f-ec4a-4cd0-a969-b0cd9190738c,Kerosene fuel / other liquid fuel stove,2,300,4000
346dad9f-ec4a-4cd0-a969-b0cd9190738c,LPG stove,1,300,6000
346dad9f-ec4a-4cd0-a969-b0cd9190738c,Other,0,0,0
346dad9f-ec4a-4cd0-a969-b0cd9190738c,Solid-fuel stove,0,0,0
3487e43c-422f-4c07-ad7f-267eb102f476,Biogas stove,0,0,0
3487e43c-422f-4c07-ad7f-267eb102f476,Electric cooking device,0,0,0
3487e43c-422f-4c07-ad7f-267eb102f476,Kerosene fuel / other liquid fuel stove,0,0,0
3487e43c-422f-4c07-ad7f-267eb102f476,LPG stove,1,180,6500
3487e43c-422f-4c07-ad7f-267eb102f476,Other,0,0,0
3487e43c-422f-4c07-ad7f-267eb102f476,Solid-fuel stove,0,0,0
34f4578e-3912-4cd2-bf64-fa8dc64713f7,Biogas stove,0,0,0
