zone,state,eaid,wpop,hhsize,hhs,urca_cat,urca,asset_cat,asset,elec2013,elec2016,elec2019
South South,Rivers,RI_219,2267,3.8,597,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_212,1927,3.8,507,<1hr to large city,9,High Wealth,7,1,1,1
South South,Akwa Ibom,AK_14,1811,3.7,489,<1hr to large city,9,High Wealth,7,1,1,1
South South,Delta,DE_31,1646,3.4,484,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_214,1667,3.8,439,<1hr to large city,9,High Wealth,8,1,1,1
South South,Edo,ED_47,1587,3.8,418,<1hr to large city,9,High Wealth,7,1,1,1
South South,Rivers,RI_234,1523,3.8,401,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_229,1339,3.8,352,<1hr to large city,9,High Wealth,8,1,1,1
South South,Delta,DE_43,1100,3.4,324,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_230,1079,3.8,284,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_241,1062,3.8,279,<1hr to large city,9,High Wealth,7,1,1,1
South South,Akwa Ibom,AK_15,835,3.7,226,<1hr to large city,9,High Wealth,8,1,1,1
South South,Delta,DE_41,725,3.4,213,<1hr to large city,9,High Wealth,8,1,1,1
South South,Delta,DE_42,569,3.4,167,<1hr to large city,9,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_8,610,3.7,165,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_213,599,3.8,158,<1hr to large city,9,High Wealth,8,1,1,1
South South,Delta,DE_33,3439,3.4,1011,<1hr to small city/town+,12,High Wealth,8,1,1,1
South South,Delta,DE_34,2195,3.4,646,<1hr to small city/town+,12,High Wealth,8,1,1,1
South South,Delta,DE_32,1615,3.4,475,<1hr to small city/town+,12,High Wealth,8,1,1,1
South South,Delta,DE_38,8015,3.4,2357,Town,7,High Wealth,8,0,0,1
South South,Delta,DE_36,7375,3.4,2169,Town,7,High Wealth,8,0,0,1
South South,Rivers,RI_232,6956,3.8,1831,Town,7,High Wealth,7,1,1,1
South South,Delta,DE_37,4722,3.4,1389,Town,7,High Wealth,8,1,1,1
South South,Rivers,RI_238,4991,3.8,1313,Town,7,High Wealth,8,1,1,1
South South,Delta,DE_44,4016,3.4,1181,Town,7,High Wealth,8,0,0,1
South South,Delta,DE_35,2306,3.4,678,Town,7,High Wealth,8,1,1,1
South South,Rivers,RI_239,1447,3.8,381,Town,7,High Wealth,7,1,1,1
South South,Edo,ED_48,1230,3.8,324,Town,7,Low Wealth,6,1,1,1
South South,Delta,DE_39,1086,3.4,319,Town,7,High Wealth,8,1,1,1
